property_type,price,location,city,province_name,latitude,longitude,baths,area_sqft,purpose,bedrooms,year,month,day
House,18.938397268358436,Model Town,Lahore,Punjab,31.483868658082,74.325685501099,0.0,9.010039498716473,For Sale,0.0,2019,7,17
House,17.50439003707821,Multan Road,Lahore,Punjab,31.431593,74.17998,5.0,8.602640345647105,For Sale,5.0,2018,10,6
House,16.066802461833923,Eden,Lahore,Punjab,31.499348,74.41695899999999,0.0,7.804357457053525,For Sale,3.0,2019,7,3
House,18.643824303266577,Gulberg,Lahore,Punjab,31.522069,74.355512,7.0,8.602640345647105,For Sale,8.0,2019,4,4
House,16.860033043306743,Allama Iqbal Town,Lahore,Punjab,31.506483000000003,74.286017,5.0,8.004953234619343,For Sale,6.0,2019,4,4
House,17.76675429577647,Gulberg,Lahore,Punjab,31.495909,74.350569,6.0,8.602640345647105,For Sale,5.0,2019,6,2
House,16.61887099947687,Military Accounts Housing Society,Lahore,Punjab,31.421229,74.28556,7.0,7.686625924195265,For Sale,6.0,2019,7,3
House,17.296750678069195,EME Society,Lahore,Punjab,31.439978000000004,74.209685,0.0,8.602640345647105,For Sale,5.0,2019,7,3
House,17.265498135541893,EME Society,Lahore,Punjab,31.437744,74.21349000000001,0.0,8.602640345647105,For Sale,6.0,2019,7,3
House,17.50439003707821,Izmir Town,Lahore,Punjab,31.409106,74.181662,0.0,9.010039498716473,For Sale,6.0,2019,7,3
House,16.41820031748273,Eden,Lahore,Punjab,31.441113,74.239683,4.0,7.622115855941329,For Sale,4.0,2019,4,4
House,18.287149362756413,Upper Mall,Lahore,Punjab,31.542114,74.355898,5.0,8.784930686497418,For Sale,4.0,2019,6,30
House,15.955576839107596,Park View Villas,Lahore,Punjab,31.450248,74.20093100000001,4.0,7.216893023463281,For Sale,4.0,2019,7,22
House,16.61887099947687,Cavalry Ground,Lahore,Punjab,31.500557,74.36773000000001,0.0,7.9096767685629406,For Sale,4.0,2019,4,4
House,16.733281344102608,Bahria Town,Lahore,Punjab,31.381706,74.19529399999999,0.0,7.9096767685629406,For Sale,0.0,2019,7,4
House,16.97251102166758,Askari,Lahore,Punjab,31.537239000000003,74.420211,4.0,7.9096767685629406,For Sale,4.0,2019,6,18
House,16.929025911619092,Bedian Road,Lahore,Punjab,31.473474,74.429569,4.0,8.602640345647105,For Sale,4.0,2019,4,4
House,17.72753358339242,Agrics Town,Lahore,Punjab,31.441625,74.224648,7.0,8.497300640077032,For Sale,6.0,2019,7,10
House,17.491811255187805,Gulberg,Lahore,Punjab,31.526312,74.347959,6.0,7.9096767685629406,For Sale,6.0,2019,6,11
House,17.129696599000436,Askari,Lahore,Punjab,31.533161,74.419481,5.0,8.091936515950763,For Sale,4.0,2019,6,18
House,17.50439003707821,Chaman Park,Lahore,Punjab,31.567912,74.399192,3.0,8.004953234619343,For Sale,6.0,2019,1,4
House,17.72753358339242,Upper Mall,Lahore,Punjab,31.542114,74.355898,6.0,8.602640345647105,For Sale,5.0,2019,7,3
House,17.622173069956816,Askari,Lahore,Punjab,31.537239000000003,74.420211,6.0,8.602640345647105,For Sale,5.0,2019,6,18
House,14.978661680269907,Chungi Amar Sadhu,Lahore,Punjab,31.450925,74.354287,2.0,6.706556666418615,For Sale,3.0,2018,12,5
House,16.86951178681205,Askari,Lahore,Punjab,31.536068,74.408666,4.0,7.9096767685629406,For Sale,3.0,2019,6,18
House,16.951004817371683,Askari,Lahore,Punjab,31.537458,74.41332299999999,5.0,7.9096767685629406,For Sale,4.0,2019,6,18
House,16.88356353960952,Askari,Lahore,Punjab,31.53327,74.41358000000001,5.0,7.9096767685629406,For Sale,4.0,2019,6,18
House,16.88356353960952,Askari,Lahore,Punjab,31.533161,74.419481,5.0,7.9096767685629406,For Sale,4.0,2019,6,18
House,17.50439003707821,Askari,Lahore,Punjab,31.537458,74.41332299999999,6.0,8.602640345647105,For Sale,5.0,2019,6,18
House,17.073607134447293,Askari,Lahore,Punjab,31.533161,74.419481,5.0,7.9096767685629406,For Sale,4.0,2019,6,18
House,16.860033043306743,Askari,Lahore,Punjab,31.537458,74.41332299999999,4.0,7.9096767685629406,For Sale,4.0,2019,6,18
House,16.951004817371683,Askari,Lahore,Punjab,31.53327,74.41358000000001,5.0,7.9096767685629406,For Sale,4.0,2019,6,18
House,16.951004817371683,Askari,Lahore,Punjab,31.533161,74.419481,6.0,7.9096767685629406,For Sale,5.0,2019,6,18
House,17.867295523158884,EME Society,Lahore,Punjab,31.439978000000004,74.209685,5.0,8.602640345647105,For Sale,5.0,2019,4,3
House,18.938397268358436,GOR,Lahore,Punjab,31.543431,74.344225,8.0,9.010039498716473,For Sale,8.0,2019,5,3
House,15.520258832020865,Karim Park,Lahore,Punjab,31.590234,74.300365,3.0,6.5244869886311685,For Sale,3.0,2019,6,11
House,17.72753358339242,Gulberg,Lahore,Punjab,31.53842,74.352357,6.0,8.602640345647105,For Sale,5.0,2019,7,3
House,16.300417291085605,Cantt,Lahore,Punjab,31.49858,74.40926999999999,6.0,7.686625924195265,For Sale,6.0,2018,12,5
House,17.989897843244528,Valencia Housing Society,Lahore,Punjab,31.40537,74.257078,0.0,9.010039498716473,For Sale,0.0,2019,6,2
House,18.938397268358436,Gulberg,Lahore,Punjab,31.519435,74.345548,0.0,9.010039498716473,For Sale,0.0,2019,2,3
House,17.565014657424058,Gulshan-e-Ravi,Lahore,Punjab,31.551184000000003,74.284058,8.0,8.697933498693878,For Sale,8.0,2019,4,4
House,18.012712520663676,Valencia Housing Society,Lahore,Punjab,31.400096,74.259682,0.0,9.010039498716473,For Sale,0.0,2019,4,3
